Titular,Partido,Gobierno,Militar,regime,Categoría,start,end
Benjamín Huamán de los Heros,Partido Democrático Reformista,Augusto Leguía,0.0,constitutional,GOLPE_ESTADO,1929-10-12,1930-08-24
Fernando Sarmiento Ramírez,Militar,Augusto Leguía,1.0,constitutional,GOLPE_ESTADO,1930-08-24,1930-08-25
Gustavo Jiménez Saldías,Militar,Luis Miguel Sánchez Cerro,1.0,deFacto,CAMBIO_GABINETE,1930-08-28,1930-11-24
Antonio Beingolea Balarezo,Marino,Luis Miguel Sánchez Cerro,1.0,deFacto,TRANSICION,1930-11-24,1931-03-01
David Samanez Ocampo,,Junta Nacional de Gobierno,,constitutional,TRANSICION,1931-03-11,1931-12-08
Germán Arenas y Loayza,,Luis Miguel Sánchez Cerro,,constitutional,CAMBIO_GABINETE,1931-12-08,1932-01-28
Francisco R. Lanatta Ramírez,Unión Revolucionaria,Luis Miguel Sánchez Cerro,0.0,constitutional,CAMBIO_GABINETE,1932-01-28,1932-04-13
Luis A. Flores Medina,Unión Revolucionaria,Luis Miguel Sánchez Cerro,0.0,constitutional,CENSURA_CONGRESO,1932-04-13,1932-05-20
Ricardo Rivadeneira Barnuevo,,Luis Miguel Sánchez Cerro,,constitutional,CAMBIO_GABINETE,1932-05-20,1932-09-10
Carlos Zavala Loayza,Independiente,Luis Miguel Sánchez Cerro,0.0,constitutional,CAMBIO_GABINETE,1932-09-10,1932-12-22
José Matías Manzanilla Barrientos,Unión Revolucionaria,Luis Miguel Sánchez Cerro,0.0,constitutional,MUERTE,1932-12-24,1933-04-30
José Matías Manzanilla Barrientos (continuación),,Óscar R. Benavides (II),,Provisorio,TRANSICION,1933-04-30,1933-06-29
Jorge Prado Ugarteche,,Óscar R. Benavides (II),,Provisorio,CAMBIO_GABINETE,1933-06-29,1933-11-24
José de la Riva-Agüero y Osma,Partido Nacional Democrático,Óscar R. Benavides (II),0.0,Provisorio,RENUNCIA_VOLUNTARIA,1933-11-24,1934-05-18
Alberto Rey de Castro y Romaña,,Óscar R. Benavides (II),,Provisorio,CAMBIO_GABINETE,1934-05-18,1934-12-24
Carlos Arenas y Loayza,,Óscar R. Benavides (II),,Provisorio,CAMBIO_GABINETE,1934-12-24,1935-05-18
Manuel E. Rodríguez Dávila,Militar,Óscar R. Benavides (II),1.0,Provisorio,CAMBIO_GABINETE,1935-05-18,1936-04-13
Ernesto Montagne Markholz,Militar,Óscar R. Benavides (II),1.0,Provisorio,CAMBIO_GABINETE,1936-04-13,1939-04-19
Manuel Ugarteche Jiménez,,Óscar R. Benavides (II),,Provisorio,TRANSICION,1939-04-20,1939-12-08
Alfredo Solf y Muro,,Manuel Prado Ugarteche (I),,constitutional,CAMBIO_GABINETE,1939-12-08,1944-12-03
Julio East Treviño,,Manuel Prado Ugarteche (I),,constitutional,FIN_GOBIERNO,1944-12-09,1945-07-28
Rafael Belaúnde Diez Canseco,Frente Democrático Nacional,José Luis Bustamante y Rivero,0.0,constitutional,RENUNCIA_FORZADA,1945-07-28,1946-01-31
Julio Ernesto Portugal Escobedo,Frente Democrático Nacional,José Luis Bustamante y Rivero,0.0,constitutional,RENUNCIA_VOLUNTARIA,1946-01-31,1947-01-12
José R. Alzamora Freundt,Marino,José Luis Bustamante y Rivero,1.0,constitutional,CAMBIO_GABINETE,1947-01-12,1947-10-30
Roque Saldías Maninat,Marino,José Luis Bustamante y Rivero,1.0,constitutional,RENUNCIA_VOLUNTARIA,1947-10-30,1948-06-17
Armando Revoredo Iglesias,Aviador,José Luis Bustamante y Rivero,1.0,constitutional,GOLPE_ESTADO,1948-06-17,1948-10-27
Zenón Noriega Agüero,Militar,Manuel A. Odría,1.0,constitutional,RENUNCIA_FORZADA,1950-07-28,1954-08-09
Roque Saldías Maninat,Marino,Manuel A. Odría,1.0,constitutional,CAMBIO_GABINETE,1954-08-09,1956-07-15
Juan Mendoza Rodríguez,Militar,Manuel A. Odría,1.0,constitutional,FIN_GOBIERNO,1956-07-15,1956-07-28
Manuel Cisneros Sánchez,Movimiento Democrático Peruano,Manuel Prado Ugarteche (II),0.0,constitutional,CAMBIO_GABINETE,1956-07-28,1958-06-09
Luis Gallo Porras,Movimiento Democrático Peruano,Manuel Prado Ugarteche (II),0.0,constitutional,RENUNCIA_VOLUNTARIA,1958-06-09,1959-07-17
Pedro Beltrán Espantoso,Independiente,Manuel Prado Ugarteche (II),0.0,constitutional,RENUNCIA_VOLUNTARIA,1959-07-17,1961-11-24
Carlos Moreyra y Paz Soldán,Movimiento Democrático Peruano,Manuel Prado Ugarteche (II),0.0,constitutional,GOLPE_ESTADO/ RENUNCIA_VOLUNTARIA,1961-11-24,1962-07-18
Nicolás Eduardo Lindley López,Militar,Ricardo Pérez Godoy,1.0,deFacto,TRANSICION,1962-07-18,1963-07-28
Julio Óscar Trelles Montes,Acción Popular,Fernando Belaúnde Terry (I),0.0,constitutional,CENSURA_CONGRESO,1963-07-28,1963-12-31
Fernando Schwalb López-Aldana,Acción Popular,Fernando Belaúnde Terry (I),0.0,constitutional,CAMBIO_GABINETE,1963-12-31,1965-09-15
Daniel Becerra de la Flor,Acción Popular,Fernando Belaúnde Terry (I),0.0,constitutional,CAMBIO_GABINETE,1965-09-15,1967-09-06
Edgardo Seoane Corrales,Acción Popular,Fernando Belaúnde Terry (I),0.0,constitutional,RENUNCIA_VOLUNTARIA,1967-09-06,1967-11-17
Raúl Ferrero Rebagliati,Partido Demócrata Cristiano,Fernando Belaúnde Terry (I),0.0,constitutional,RENUNCIA_FORZADA,1967-11-17,1968-05-30
Oswaldo Hercelles García,Independiente,Fernando Belaúnde Terry (I),0.0,constitutional,CAMBIO_GABINETE,1968-05-30,1968-10-02
Miguel Mujica Gallo,Independiente,Fernando Belaúnde Terry (I),0.0,constitutional,GOLPE_ESTADO,1968-10-02,1968-10-03
Ernesto Montagne Sánchez,Militar,Juan Velasco Alvarado,1.0,deFacto,CAMBIO_GABINETE,1968-10-03,1973-01-31
Edgardo Mercado Jarrín,Militar,Juan Velasco Alvarado,1.0,deFacto,CAMBIO_GABINETE,1973-01-31,1975-02-01
Francisco Morales-Bermúdez Cerrutti,Militar,Juan Velasco Alvarado,1.0,deFacto,GOLPE_ESTADO,1975-02-01,1975-08-30
Óscar Vargas Prieto,Militar,Francisco Morales Bermúdez,1.0,deFacto,CAMBIO_GABINETE,1975-08-30,1976-01-31
Jorge Fernández-Maldonado Solari,Militar,Francisco Morales Bermúdez,1.0,deFacto,CAMBIO_GABINETE,1976-01-31,1976-07-16
Guillermo Arbulú Galliani,Militar,Francisco Morales Bermúdez,1.0,deFacto,CAMBIO_GABINETE,1976-07-16,1978-01-30
Óscar Molina Pallochia,Militar,Francisco Morales Bermúdez,1.0,deFacto,CAMBIO_GABINETE,1978-01-30,1979-01-31
Pedro Richter Prada,Militar,Francisco Morales Bermúdez,1.0,deFacto,TRANSICION,1979-01-30,1980-07-27
Manuel Ulloa Elías,Acción Popular,Fernando Belaúnde Terry (II),0.0,constitutional,RENUNCIA_FORZADA,1980-07-28,1982-12-09
Fernando Schwalb López-Aldana,Acción Popular,Fernando Belaúnde Terry (II),0.0,constitutional,RENUNCIA_VOLUNTARIA,1982-12-09,1984-04-10
Sandro Mariátegui Chiappe,Acción Popular,Fernando Belaúnde Terry (II),0.0,constitutional,CAMBIO_GABINETE,1984-04-10,1984-10-13
Luis Pércovich Roca,Acción Popular,Fernando Belaúnde Terry (II),0.0,constitutional,FIN_GOBIERNO,1984-10-13,1985-07-27
Luis Alva Castro,Partido Aprista Peruano,Alan García,0.0,constitutional,RENUNCIA_VOLUNTARIA,1985-07-28,1987-06-26
Guillermo Larco Cox,Partido Aprista Peruano,Alan García,0.0,constitutional,CAMBIO_GABINETE,1987-06-27,1988-05-13
Armando Villanueva del Campo,Partido Aprista Peruano,Alan García,0.0,constitutional,CAMBIO_GABINETE,1988-05-13,1989-05-15
Luis Alberto Sánchez Sánchez,Partido Aprista Peruano,Alan García,0.0,constitutional,CAMBIO_GABINETE,1989-05-15,1989-09-30
Guillermo Larco Cox,Partido Aprista Peruano,Alan García,0.0,constitutional,FIN_GOBIERNO,1989-09-30,1990-07-27
Juan Carlos Hurtado Miller,Independiente[8],Alberto Fujimori,0.0,constitutional,RENUNCIA_VOLUNTARIA,1990-07-28,1991-02-20
Carlos Torres y Torres Lara,Independiente,Alberto Fujimori,0.0,constitutional,RENUNCIA_VOLUNTARIA,1991-02-15,1991-11-06
Alfonso de los Heros Pérez-Albela,Independiente,Alberto Fujimori,0.0,constitutional,GOLPE_ESTADO,1991-11-06,1992-04-06
Óscar de la Puente Raygada,Independiente,Alberto Fujimori,0.0,deFacto,CAMBIO_GABINETE,1992-04-06,1993-08-28
Alfonso Bustamante y Bustamante,Cambio 90,Alberto Fujimori,0.0,deFacto,CAMBIO_GABINETE,1993-08-28,1994-02-17
Efraín Goldenberg Schreiber,Cambio 90,Alberto Fujimori,0.0,deFacto,CAMBIO_GABINETE,1994-02-17,1995-07-28
Dante Córdova Blanco,Cambio 90 - Nueva Mayoría,Alberto Fujimori,0.0,constitutional,RENUNCIA_VOLUNTARIA,1995-07-27,1996-04-03
Alberto Pandolfi Arbulú,Cambio 90 - Nueva Mayoría,Alberto Fujimori,0.0,constitutional,RENUNCIA_VOLUNTARIA,1996-04-03,1998-06-04
Javier Valle-Riestra González-Olaechea,Partido Aprista Peruano,Alberto Fujimori,0.0,constitutional,RENUNCIA_VOLUNTARIA,1998-06-04,1998-08-21
Alberto Pandolfi Arbulú,Cambio 90 - Nueva Mayoría,Alberto Fujimori,0.0,constitutional,CAMBIO_GABINETE,1998-08-21,1999-06-04
Víctor Joy Way Rojas,Cambio 90 - Nueva Mayoría,Alberto Fujimori,0.0,constitutional,CAMBIO_GABINETE,1999-01-03,1999-10-10
Alberto Bustamante Belaúnde,Independiente,Alberto Fujimori,0.0,constitutional,CAMBIO_GABINETE,1999-10-10,2000-07-29
Federico Salas-Guevara Schultz,Independiente,Alberto Fujimori,0.0,constitutional,RENUNCIA_FORZADA,2000-07-29,2000-11-21
Javier Pérez de Cuéllar de la Guerra,Unión por el Perú,Valentín Paniagua,0.0,Provisorio,TRANSICION,2000-11-22,2001-07-28
Roberto Dañino Zapata,Independiente,Alejandro Toledo,0.0,constitutional,RENUNCIA_FORZADA,2001-07-28,2002-07-11
Luis Solari de la Fuente,Perú Posible,Alejandro Toledo,0.0,constitutional,RENUNCIA_FORZADA,2002-07-12,2003-06-23
Beatriz Merino Lucero,Independiente,Alejandro Toledo,0.0,constitutional,RENUNCIA_FORZADA,2003-06-23,2003-12-12
Carlos Ferrero Costa,Perú Posible,Alejandro Toledo,0.0,constitutional,RENUNCIA_VOLUNTARIA,2003-12-15,2005-08-15
Pedro Pablo Kuczynski Godard,Independiente,Alejandro Toledo,0.0,constitutional,FIN_GOBIERNO,2005-08-16,2006-07-28
Jorge del Castillo Gálvez,Partido Aprista Peruano,Alan García,0.0,constitutional,RENUNCIA_FORZADA,2006-07-28,2008-10-10
Yehude Simon Munaro,Partido Humanista Peruano,Alan García,0.0,constitutional,RENUNCIA_FORZADA,2008-10-14,2009-07-11
Javier Velásquez Quesquén,Partido Aprista Peruano,Alan García,0.0,constitutional,RENUNCIA_VOLUNTARIA,2009-07-11,2010-09-13
José Antonio Chang Escobedo,Independiente,Alan García,0.0,constitutional,CAMBIO_GABINETE,2010-09-14,2011-03-18
Rosario Fernández Figueroa,Independiente,Alan García,0.0,constitutional,FIN_GOBIERNO,2011-03-19,2011-07-28
Salomón Lerner Ghitis,Independiente,Ollanta Humala,0.0,constitutional,RENUNCIA_FORZADA,2011-07-28,2011-12-10
Óscar Valdés Dancuart,Independiente,Ollanta Humala,1.0,constitutional,RENUNCIA_FORZADA,2011-12-10,2012-07-23
Juan Jiménez Mayor,Independiente,Ollanta Humala,0.0,constitutional,RENUNCIA_FORZADA,2012-07-23,2013-10-29
César Villanueva Arévalo,Independiente,Ollanta Humala,0.0,constitutional,RENUNCIA_VOLUNTARIA,2013-10-31,2014-02-24
René Cornejo Díaz,Independiente,Ollanta Humala,0.0,constitutional,RENUNCIA_VOLUNTARIA,2014-02-24,2014-07-22
Ana Jara Velásquez,Partido Nacionalista Peruano,Ollanta Humala,0.0,constitutional,CENSURA_CONGRESO,2014-07-22,2015-04-02
Pedro Cateriano Bellido,Independiente,Ollanta Humala,0.0,constitutional,FIN_GOBIERNO,2015-04-02,2016-07-28
Fernando Zavala Lombardi,Independiente,Pedro Pablo Kuczynski,0.0,constitutional,NEGACION_CONFIANZA,2016-07-28,2017-09-15
Mercedes Aráoz Fernández,Peruanos por el Kambio,Pedro Pablo Kuczynski,0.0,constitutional,RENUNCIA_FORZADA,2017-09-17,2018-03-23
Mercedes Aráoz Fernández,Peruanos por el Kambio,Martín Vizcarra,0.0,replaceVice,CAMBIO_GABINETE,2018-03-23,2018-04-02
César Villanueva Arévalo,Alianza para el Progreso,Martín Vizcarra,0.0,replaceVice,RENUNCIA_VOLUNTARIA,2018-04-02,2019-03-08
Salvador del Solar Labarthe,Independiente,Martín Vizcarra,0.0,replaceVice,RENUNCIA_FORZADA,2019-03-11,2019-09-30
Vicente Zeballos Salinas,Independiente,Martín Vizcarra,0.0,replaceVice,CAMBIO_GABINETE / RENUNCIA_VOLUNTARIA ,2019-09-30,2020-07-15
Pedro Cateriano Bellido,Independiente,Martín Vizcarra,0.0,replaceVice,NEGACION_CONFIANZA,2020-07-15,2020-08-06
Walter Martos Ruiz,Independiente,Martín Vizcarra,1.0,replaceVice,RENUNCIA_FORZADA,2020-08-06,2020-11-10
Ántero Flores-Aráoz Esparza,Independiente,Manuel Merino,0.0,Provisorio,RENUNCIA_FORZADA,2020-11-11,2020-11-17
Violeta Bermúdez Valdivia,Independiente,Francisco Sagasti,0.0,Provisorio,TRANSICION,2020-11-18,2021-07-28
Guido Bellido Ugarte,Perú Libre,Pedro Castillo,0.0,constitutional,RENUNCIA_FORZADA,2021-07-29,2021-10-06
Mirtha Vásquez Chuquilín,Frente Amplio,Pedro Castillo,0.0,constitutional,RENUNCIA_VOLUNTARIA,2021-10-06,2022-01-31
Héctor Valer Pinto,Somos Perú,Pedro Castillo,0.0,constitutional,RENUNCIA_FORZADA,2022-02-01,2022-02-08
Aníbal Torres Vásquez,Independiente,Pedro Castillo,0.0,constitutional,RENUNCIA_VOLUNTARIA,2022-02-08,2022-11-24
Betssy Chávez Chino,Perú Libre,Pedro Castillo,0.0,constitutional,GOLPE_ESTADO,2022-11-25,2022-12-07
Pedro Angulo Arana,Independiente,Dina Boluarte,0.0,replaceVice,CAMBIO_GABINETE,2022-12-10,2022-12-21
Alberto Otárola Peñaranda,Independiente,Dina Boluarte,0.0,replaceVice,RENUNCIA_FORZADA,2022-12-21,2024-03-05
Gustavo Adrianzén Olaya,Independiente,Dina Boluarte,0.0,replaceVice,RENUNCIA_FORZADA,2024-03-06,2025-05-13
Eduardo Arana Ysa,Independiente,Dina Boluarte,0.0,replaceVice,TRANSICION,2025-05-14,2025-10-10
Eduardo Arana Ysa,Independiente,José Jerí,0.0,Provisorio,TRANSICION,2025-10-10,2025-10-12
Ernesto Álvarez Miranda,Partido Popular Cristiano[13],José Jerí,0.0,Provisorio,TRANSICION,2025-10-14,2026-02-17
Ernesto Álvarez Miranda,Partido Popular Cristiano[13],José María Balcázar,0.0,Provisorio,CAMBIO_GABINETE,2026-02-18,2026-02-24
Denisse Miralles Miralles,Independiente,José María Balcázar,0.0,Provisorio,RENUNCIA_FORZADA,2026-02-24,2026-03-17
Luis Arroyo Sánchez,Independiente,José María Balcázar,1.0,Provisorio,TRANSICION,2026-03-17,2026-05-17
